cluster_name,representative_length,number_of_members,representative,type,num_viral_members,viral_ratio,is_circular,pos_cluster
Cluster_0,548876,4,H_NODE_1_length_548876_cov_25.569911,hybrid extension,1,0.25,0,NA
Cluster_1,446843,32,H_NODE_2_length_446843_cov_50.536065,hybrid extension,8,0.25,0,NA
Cluster_2,414846,3,H_NODE_3_length_414846_cov_11.760052,hybrid extension,NA,NA,0,NA
Cluster_3,366376,2,S_NODE_3_length_366376_cov_12.619953,identical,NA,NA,0,NA
Cluster_4,344296,30,H_NODE_5_length_344296_cov_33.813246,hybrid extension,6,0.2,0,NA
Cluster_5,316126,3,H_NODE_6_length_316126_cov_21.864433,hybrid extension,3,1,1,1
Cluster_6,311347,2,S_NODE_5_length_311347_cov_12.738002,identical,NA,NA,0,NA
Cluster_7,306502,38,H_NODE_8_length_306502_cov_49.825048,hybrid extension,1,0.0263157894736842,0,NA
Cluster_8,300803,2,H_NODE_9_length_300803_cov_11.038147,identical,NA,NA,0,NA
Cluster_9,292520,13,H_NODE_10_length_292520_cov_49.577760,hybrid extension,3,0.230769230769231,0,NA
Cluster_10,271795,2,S_NODE_9_length_271795_cov_23.673841,identical,NA,NA,0,NA
Cluster_11,259071,2,S_NODE_10_length_259071_cov_23.158019,identical,NA,NA,0,NA
Cluster_12,240173,25,H_NODE_13_length_240173_cov_49.666597,hybrid extension,2,0.08,0,NA
Cluster_13,237896,2,S_NODE_11_length_237896_cov_12.636370,identical,NA,NA,0,NA
Cluster_14,236676,2,S_NODE_12_length_236676_cov_22.212654,identical,2,1,0,288
Cluster_15,236273,3,H_NODE_16_length_236273_cov_24.369606,hybrid extension,NA,NA,0,NA
Cluster_16,214725,2,H_NODE_17_length_214725_cov_13.136749,identical,NA,NA,0,NA
Cluster_17,204016,12,S_NODE_15_length_204016_cov_25.984217,short longer than hybrid,12,1,0,102
Cluster_18,200947,2,S_NODE_16_length_200947_cov_13.154875,short longer than hybrid,NA,NA,0,NA
Cluster_19,196399,9,H_NODE_20_length_196399_cov_16.832314,hybrid extension,NA,NA,0,NA
Cluster_20,195895,2,S_NODE_17_length_195895_cov_11.924456,identical,NA,NA,0,NA
Cluster_21,195748,2,S_NODE_18_length_195748_cov_22.995236,identical,2,1,0,102
Cluster_22,194280,6,H_NODE_23_length_194280_cov_68.502423,hybrid extension,6,1,1,0
Cluster_23,192812,4,H_NODE_24_length_192812_cov_80.685684,hybrid extension,6,1.5,1,64
Cluster_23,192812,4,H_NODE_24_length_192812_cov_80.685684,hybrid extension,6,1.5,1,64
Cluster_23,192812,4,H_NODE_24_length_192812_cov_80.685684,hybrid extension,6,1.5,1,64
Cluster_24,185170,29,S_NODE_19_length_185170_cov_49.044730,short longer than hybrid,1,0.0344827586206897,0,NA
Cluster_25,182917,2,S_NODE_20_length_182917_cov_24.544532,identical,2,1,0,248
Cluster_26,179175,4,H_NODE_26_length_179175_cov_25.165140,hybrid extension,3,0.75,0,429
Cluster_27,178914,9,H_NODE_27_length_178914_cov_61.440205,hybrid extension,9,1,0,4
Cluster_28,177154,3,H_NODE_28_length_177154_cov_23.270518,hybrid extension,5,1.66666666666667,0,0
Cluster_28,177154,3,H_NODE_28_length_177154_cov_23.270518,hybrid extension,5,1.66666666666667,0,0
Cluster_28,177154,3,H_NODE_28_length_177154_cov_23.270518,hybrid extension,5,1.66666666666667,0,0
Cluster_29,176470,2,H_NODE_29_length_176470_cov_23.963713,identical,NA,NA,0,NA
Cluster_30,173487,2,H_NODE_30_length_173487_cov_23.798869,identical,NA,NA,0,NA
Cluster_31,169775,2,H_NODE_31_length_169775_cov_23.233413,identical,NA,NA,0,NA
Cluster_32,169137,2,S_NODE_26_length_169137_cov_63.563736,short longer than hybrid,2,1,0,28
Cluster_33,166966,11,H_NODE_33_length_166966_cov_19.913294,hybrid extension,2,0.181818181818182,0,NA
Cluster_34,162620,3,S_NODE_27_length_162620_cov_67.387371,short longer than hybrid,3,1,0,28
Cluster_35,161719,12,H_NODE_34_length_161719_cov_78.692287,hybrid extension,12,1,0,0
Cluster_36,160713,3,H_NODE_35_length_160713_cov_80.572211,hybrid extension,3,1,0,10
