id,name,taxonomy,pos_cluster
KU517658.1,Clostridium phage HM T,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae",268.0
NC_005856.1,Escherichia virus P1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; P1virus",471.0
AF234173.1,Escherichia virus P1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; P1virus",471.0
AF234172.1,Escherichia virus P1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; P1virus",471.0
NC_004301.1,Enterobacteria phage FI sensu lato,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae; Allolevivirus",238.0
NC_002014.1,Enterobacteria phage Ike,Viruses; ssDNA viruses; Inoviridae; Lineavirus,233.0
NC_001332.1,Escherichia virus I22,Viruses; ssDNA viruses; Inoviridae; Lineavirus,233.0
NC_001604.1,Enterobacteria phage T7,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus",51.0
NC_003287.2,Escherichia virus M13,Viruses; ssDNA viruses; Inoviridae; Inovirus,233.0
NC_001338.1,Sulfolobus spindle-shaped virus 1,"Viruses; dsDNA viruses, no RNA stage; Fuselloviridae; Alphafusellovirus",198.0
NC_000866.4,Enterobacteria phage T4,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus",36.0
NC_005135.1,Aeromonas virus 44RR2,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Biquartavirus",211.0
X07234.1,Sulfolobus spindle-shaped virus 1,"Viruses; dsDNA viruses, no RNA stage; Fuselloviridae; Alphafusellovirus",198.0
NC_022757.1,Lactobacillus phage PL-1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",230.0
NC_022756.1,Lactobacillus phage J-1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",230.0
KC171647.1,Lactobacillus phage PL-1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",230.0
KC171646.1,Lactobacillus phage J-1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",230.0
NC_001416.1,Escherichia virus Lambda,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Lambdavirus",252.0
J02459.1,Escherichia virus Lambda,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Lambdavirus",252.0
KJ489402.1,Bacillus phage Riley,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; B4virus",77.0
KX721256.1,Mycobacterium phage Erdmann,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae",60.0
KX721255.1,Mycobacterium phage Yucca,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae",60.0
NC_024788.1,Bacillus phage Riley,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; B4virus",77.0
KJ489401.1,Bacillus phage Megatron,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Wphvirus",106.0
KJ489399.1,Bacillus phage Hakuna,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Wphvirus",106.0
NC_028897.1,Mycobacterium phage Chadwick,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",164.0
KT246486.1,Mycobacterium phage Chadwick,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae",164.0
NC_024213.1,Bacillus phage Hakuna,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Wphvirus",106.0
NC_024211.1,Bacillus phage Megatron,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Wphvirus",106.0
NC_024207.1,Bacillus phage Evoli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae",77.0
NC_024205.1,Bacillus phage Hoody T,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae",77.0
KJ489400.1,Bacillus phage Hoody T,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae",77.0
KJ489398.1,Bacillus phage Evoli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae",77.0
